,date,league,matchweek,home_team_id,home_team,home_manager,home_formation,home_goals,home_xg,away_xg,away_goals,away_team,away_manager,away_formation,away_team_id,home_team_form,home_team_league_pos,home_team_points_diff,home_team_home_form,home_team_home_league_pos,home_team_home_points_diff,home_team_average_goals_form,home_team_average_xg_form,home_team_average_goals_form_against,home_team_average_xg_form_against,away_team_form,away_team_league_pos,away_team_points_diff,away_team_away_form,away_team_away_league_pos,away_team_away_points_diff,away_team_average_goals_form,away_team_average_xg_form,away_team_average_goals_form_against,away_team_average_xg_form_against
0,"Friday August 30, 2024",Serie A ,3,af5d5982,Venezia,Eusebio Di Francesco,3-4-3,0,0.8,1.0,1,Torino,Paolo Vanoli,3-5-2,105360fe,LD,14.0,1,,10.0,0,,,,,DW,2.0,4,D,1.0,1,2.0,1.0,2.0,2.1
1,"Friday August 30, 2024",Serie A ,3,d609edc0,Internazionale,Simone Inzaghi,3-5-2,4,1.3,1.4,0,Atalanta,Gian Piero Gasperini,3-4-3,922493f3,DW,2.0,1,W,1.0,3,2.0,2.4,0.0,0.3,WL,8.0,-3,WL,5.0,-3,2.5,2.35,1.0,1.95
2,"Friday November 8, 2024",Serie A ,12,ffcbe334,Lecce,Luca Gotti,4-5-1,1,1.6,0.6,1,Empoli,Roberto D'Aversa,3-1-4-2,a3d88bd8,LLLWL,18.0,2,DLW,11.0,2,1.0,1.1333333333333333,2.6666666666666665,1.5,LLDLW,10.0,5,WLD,7.0,6,1.3333333333333333,0.5,1.0,2.0
3,"Friday October 25, 2024",Serie A ,9,04eea015,Udinese,Kosta Runjaić,3-5-2,2,1.0,0.4,0,Cagliari,Davide Nicola,3-5-1-1,c4260e09,WLLWL,5.0,7,WLW,7.0,6,1.3333333333333333,0.9,1.0,1.4333333333333336,LLWDW,12.0,-4,LWD,15.0,0,1.3333333333333333,1.7666666666666666,1.3333333333333333,2.1666666666666665
4,"Friday October 25, 2024",Serie A ,9,105360fe,Torino,Paolo Vanoli,3-5-2,1,1.3,1.4,0,Como,Cesc Fàbregas,4-2-3-1,28c9c3cd,DWLLL,9.0,5,WDL,12.0,6,1.3333333333333333,1.1666666666666667,1.3333333333333333,2.1999999999999997,DWWLD,12.0,-4,LWL,13.0,-7,1.3333333333333333,1.0333333333333334,2.0,1.5
5,"Friday October 4, 2024",Serie A ,7,d48ad4ff,Napoli,Antonio Conte,4-2-3-1,3,1.9,0.4,1,Como,Cesc Fàbregas,4-2-3-1,28c9c3cd,WWWDW,1.0,0,WWW,2.0,0,2.3333333333333335,1.9333333333333336,0.3333333333333333,0.8666666666666667,DLDWW,10.0,-2,DLW,14.0,-5,1.3333333333333333,1.4000000000000001,1.3333333333333333,1.1333333333333335
6,"Friday October 4, 2024",Serie A ,7,0e72edf2,Hellas Verona,Paolo Zanetti,4-2-3-1,2,2.3,0.9,1,Venezia,Eusebio Di Francesco,3-5-2,af5d5982,LWLLL,14.0,2,WLL,9.0,3,1.6666666666666667,0.9,2.0,1.4666666666666668,DLLWL,19.0,0,DLL,19.0,1,0.3333333333333333,0.8666666666666667,2.0,1.5999999999999999
7,"Friday September 20, 2024",Serie A ,5,0e72edf2,Hellas Verona,Paolo Zanetti,3-4-1-2,2,0.5,2.2,3,Torino,Paolo Vanoli,3-5-2,105360fe,WLWL,7.0,2,WL,9.0,0,1.5,1.1,1.5,1.1,DWWD,3.0,5,DW,3.0,1,1.5,1.0,1.0,1.4500000000000002
8,"Friday September 20, 2024",Serie A ,5,c4260e09,Cagliari,Davide Nicola,3-5-2,0,2.2,0.8,2,Empoli,Roberto D'Aversa,3-4-3,a3d88bd8,DDLL,18.0,-4,DDL,18.0,-4,0.3333333333333333,0.9333333333333332,1.6666666666666667,1.4333333333333333,DWDD,7.0,0,WD,3.0,4,1.5,1.85,1.0,1.7000000000000002
9,"Friday September 27, 2024",Serie A ,6,dc56fe14,Milan,Paulo Fonseca,4-2-3-1,3,1.6,0.5,0,Lecce,Luca Gotti,4-3-3,ffcbe334,DLDWW,6.0,-4,DW,6.0,-2,3.0,2.1500000000000004,1.0,0.65,LLWDD,14.0,2,LD,19.0,-2,0.0,0.9500000000000001,1.0,1.4
